"","C002","C004","C005","C006","C007","C009","C010","C011","C012","C015","C016","C017","C019","C020","C021","C022","C024","C026","C028","C029","C030","C031","C032","C033","C034","P002","P012","P013_2","P014","P027","P034","P037","P038","P041","P042","P049","P056","P058","P060","P064","P065","P070","P080","P085","P086","P089","P092","P099","P100_2","P113"
"Label","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Healthy","Renal","Renal","Renal","Renal","Renal","Renal","Renal","Renal","Renal","Renal","Renal","Renal","Renal","Renal","Renal","Renal","Renal","Renal","Renal","Renal","Renal","Renal","Renal","Renal","Renal"
"0","-0.12200701"," 0.63997498"," 0.08323791"," 0.08323791","-0.19716430"," 0.08323791"," 0.08323791"," 0.08323791","-0.17310583"," 0.08323791"," 0.08323791","-0.12200701","-0.12200701","-0.15383837","-0.19716430"," 0.08323791","-0.20958929","-0.04711786","-0.28472397"," 0.08323791","-0.15383837","-0.20337680","-0.04711786"," 0.08323791","-0.15383837"," 0.08323791","-0.04711786","-0.35213680"," 0.63997498"," 0.08323791"," 0.08323791"," 0.63997498"," 0.08323791"," 0.08323791"," 0.08323791"," 0.08323791"," 0.08323791","-0.04711786"," 0.08323791"," 0.08323791","-0.17310583"," 0.08323791","-0.17310583"," 0.08323791","-0.17310583","-0.35790541","-0.04711786"," 0.08323791","-0.36002502"," 0.08323791"
"1.00135","-0.10505721","-0.06527471","-0.10858623","-0.04971822"," 0.06011352","-0.06313210","-0.04971822","-0.11089990","-0.05520080","-0.08774971","-0.09851682","-0.11265541","-0.06313210","-0.08403614","-0.07332304","-0.09358790","-0.06313210","-0.05245951","-0.01056590","-0.10505721","-0.07982292","-0.07332304","-0.03085777","-0.10505721","-0.07332304","-0.09514985"," 0.16921605"," 0.88734459","-0.09358790","-0.09514985","-0.09148129","-0.10656065"," 0.11232861","-0.08937468","-0.10355378","-0.10032184","-0.09671180","-0.03085777"," 0.01628886","-0.10974307"," 0.05151604","-0.01056590"," 0.35880184"," 0.25414660"," 0.17984813"," 0.33881607","-0.10355378","-0.10193781"," 0.49168025"," 0.12263659"
"1.0681","-0.085424366","-0.133539620","-0.178701973"," 0.004014469","-0.204755647","-0.154908403","-0.031272700","-0.108332065","-0.045565878"," 0.009091188"," 0.082249316","-0.108332065"," 0.077428137","-0.195624368"," 0.110909494","-0.085424366","-0.001062249","-0.021017047","-0.021017047","-0.068342968","-0.185618576","-0.195624368"," 0.097496508","-0.040142761"," 0.021118582","-0.163551318"," 0.450640780"," 0.536672421"," 0.009091188","-0.154908403","-0.147753296","-0.214000500","-0.012771639","-0.147753296"," 0.065457529"," 0.030340719","-0.178701973"," 0.053248418"," 0.154476144","-0.242541426"," 0.276192461"," 0.030340719"," 0.251433520"," 0.110909494","-0.012771639"," 0.251433520","-0.228730934","-0.224630944"," 0.757458574"," 0.212818658"
"1.08855","-0.29669789","-0.01933114"," 0.11305204"," 0.17236350","-0.21070945","-0.08966135","-0.13101242","-0.04008576"," 0.01289914"," 0.13835826"," 0.23641987","-0.02970845","-0.14399944","-0.19259090"," 0.13835826","-0.21070945"," 0.50635292","-0.01933114"," 0.19810906"," 0.11305204"," 0.02356642","-0.08966135"," 0.13835826"," 0.13835826"," 0.13835826","-0.35857512"," 0.46971161"," 0.26576806","-0.11978279","-0.08966135","-0.22346801","-0.29669789","-0.49364708","-0.19259090"," 0.33000018"," 0.26576806","-0.25306223","-0.08966135"," 0.26576806","-0.20165018"," 0.46971161","-0.07113860","-0.29669789","-0.46746217"," 0.25109397"," 0.40073458","-0.04008576","-0.15113439","-0.08039998"," 0.11305204"
"1.11465","-0.083097716","-0.052913150"," 0.014805538"," 0.028110695","-0.070480603","-0.002565331","-0.006559558","-0.018443949","-0.070480603","-0.054961644"," 0.002166087","-0.060338660","-0.079161570","-0.079161570","-0.060338660","-0.026200078"," 0.032212150","-0.018443949"," 0.009095669","-0.060338660","-0.018443949","-0.039746496","-0.052913150"," 0.048394580"," 0.051106544"," 0.900237330","-0.012787694","-0.011165877"," 0.011950604"," 0.024317519","-0.057010137","-0.088155283","-0.090326642","-0.057010137"," 0.005793953"," 0.002166087","-0.026200078","-0.060338660","-0.002565331","-0.099762670"," 0.028110695","-0.052913150","-0.090326642","-0.008862717","-0.002565331"," 0.019608441"," 0.028110695"," 0.009095669"," 0.301862722","-0.002565331"
"1.1535","-0.050247811"," 0.103771166"," 0.251977390"," 0.263274110","-0.062151519"," 0.039190177","-0.068971703","-0.072917125","-0.072917125","-0.047040049","-0.068971703","-0.083434034","-0.083434034","-0.065540535","-0.082485616","-0.082485616"," 0.018291245","-0.076411521"," 0.186979097"," 0.034747362"," 0.013827354","-0.074438810","-0.004445512","-0.068971703"," 0.083369626"," 0.916565966","-0.055870880","-0.068971703","-0.040679321","-0.008471023","-0.001153446","-0.058437933","-0.064157952"," 0.005713105","-0.055870880","-0.040679321","-0.001153446"," 0.046638425","-0.064157952","-0.070961275","-0.070961275","-0.047040049"," 0.024829011","-0.058437933","-0.066923119","-0.004445512","-0.066923119","-0.062151519"," 0.027522520","-0.044384476"
"1.1896","-0.04866208","-0.06586063","-0.06012583"," 0.11891878","-0.12934873","-0.05665646","-0.07876909"," 0.04253544","-0.01694740","-0.04037847","-0.04866208","-0.07876909","-0.13032949"," 0.08931978","-0.10787184","-0.11487077","-0.08325592","-0.08767228"," 0.13025332","-0.09359502","-0.12829456","-0.06323548","-0.04307410","-0.05369509","-0.09025926"," 0.86967051","-0.02564651"," 0.05738633","-0.09901856","-0.03152520","-0.06586063","-0.05024040","-0.11357728","-0.06012583","-0.01910419"," 0.09466405","-0.04172629","-0.07101990","-0.11616426"," 0.34952968","-0.12091537"," 0.40834595"," 0.40834595","-0.10787184"," 0.17873344","-0.04037847","-0.11756199","-0.11357728","-0.11178901"," 0.17873344"
"1.21715"," 0.006229535","-0.025410842"," 0.321378633"," 0.277561455","-0.162041938","-0.085056251","-0.102444786"," 0.141203814"," 0.019580584"," 0.176785164","-0.102444786","-0.176213353","-0.063453289","-0.010338634","-0.056230854","-0.182647593","-0.102444786","-0.176213353"," 0.072695239","-0.075871373","-0.085056251"," 0.039333702","-0.010338634","-0.150363792"," 0.072695239"," 0.241224082"," 0.168106982"," 0.159428800","-0.125994106","-0.010338634","-0.253350245","-0.189789600"," 0.006229535","-0.250396928"," 0.094957711"," 0.176785164","-0.093678134","-0.162041938","-0.108299945"," 0.746649755","-0.063453289"," 0.072695239"," 0.211417463","-0.010338634"," 0.277561455","-0.045694785","-0.176213353","-0.220046616","-0.217730290"," 0.211417463"
"1.2414","-0.124386360"," 0.081679409"," 0.260245204"," 0.171084996","-0.223354716","-0.162840753"," 0.088953143"," 0.017828291","-0.088508446"," 0.110476386","-0.069666845","-0.139179207","-0.113116453","-0.001521595","-0.059290820","-0.044007214","-0.034454961","-0.157705321"," 0.260245204","-0.108945011","-0.079657276","-0.001521595","-0.069666845","-0.079657276","-0.034454961","-0.139179207","-0.001521595","-0.015052494","-0.050387068"," 0.074405675","-0.117287896","-0.208435674"," 0.146827530","-0.135288198"," 0.039929927","-0.050387068","-0.144209477","-0.139179207","-0.025060451"," 0.081679409"," 0.074405675"," 0.002413232","-0.150063518"," 0.578712076"," 0.171084996"," 0.776645284","-0.096220357","-0.182344877"," 0.241333495","-0.131397188"
