"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50"
"0",0.010863,-0.084076,-0.15491,-0.17173,0.094961,-0.096599,0.092083,0.051804,-0.089222,0.028057,-0.21199,0.19973,0.0007376,0.012396,0.014506,-0.06173,0.059872,0.088095,-0.14827,0.053846,0.090168,0.082503,-0.055849,-0.010014,0.014948,-0.098883,0.15237,0.15942,0.0849,-0.0079017,0.053942,0.053288,0.094919,-0.065995,-0.036912,0.29545,0.036302,-0.097901,0.016414,-0.042282,-0.018337,0.018246,-0.047348,0.054818,-0.046073,-0.15304,-0.2074,0.13897,0.043103,0.23879
"1.00135",0.10605,0.10834,0.10519,0.048505,-0.12197,0.094908,0.020392,0.01316,-0.035443,-0.007665,0.067426,-0.023193,-0.15014,-0.051136,0.043307,0.066861,0.05979,-0.074032,0.016519,0.073696,0.053905,-0.083052,-0.14531,-0.052336,-0.095734,-0.047375,-0.15409,-0.053259,0.13432,-0.039286,0.037339,0.092126,0.004955,0.013197,0.1194,-0.098641,0.047918,-0.10995,0.13793,0.095616,0.055527,0.028296,0.083153,0.070932,0.19753,-0.098656,0.034139,0.090792,0.15894,0.28368
"1.0681",0.093605,0.1333,0.040675,0.090465,-0.20369,0.056462,0.10605,-0.028775,0.01741,0.0049,0.087816,-0.013885,-0.04264,0.061133,0.044193,0.02659,-0.093999,-0.063442,-0.0092247,-0.025917,0.012735,-0.051341,-0.19397,-0.065452,0.011265,-0.11203,-0.1097,0.024088,0.11633,-0.15499,0.12529,-0.0056277,-0.074531,-0.12043,-0.081643,0.024114,0.043176,-0.1658,-0.032463,0.035668,-0.041652,0.017848,0.08908,0.051677,-0.10591,0.071168,-0.11042,0.20898,0.071184,-0.21693
"1.08855",-0.014785,0.11699,-0.044018,0.2021,-0.17006,-0.049809,0.05583,-0.085618,0.14959,-0.10074,0.033262,0.010236,-0.0074906,0.065914,0.080019,-0.08696,-0.050427,0.37536,0.17072,-0.054342,-0.023026,0.11399,-0.0022551,-0.18004,-0.020662,-0.04454,0.24745,-0.042442,0.02966,-0.059271,-0.12189,-0.04654,0.046618,0.011382,-0.14574,-0.075389,0.17378,-0.18116,0.14155,-0.11996,0.11551,0.025643,0.18849,0.08302,0.068231,0.063374,-0.168,-0.011129,-0.15482,0.03802
"1.11465",0.037928,0.03348,-0.014431,-0.063683,-0.026203,-0.13333,-0.069781,0.17475,0.055794,0.045362,0.12334,-0.0095304,0.062402,0.048566,0.024458,0.078514,-0.011491,-0.038173,0.055297,-0.069671,0.073707,-0.092535,-0.033592,-0.023762,0.063165,0.0048318,-0.039684,-0.10558,-0.064314,-0.0099594,-0.040054,-0.14908,0.020843,-0.023598,-0.031349,0.062885,0.013561,-0.02889,0.022069,-0.1049,0.092885,0.021158,-0.10334,0.048508,-0.010294,0.12263,-0.081657,-0.0056226,0.074888,0.19587
"1.1535",0.016837,0.039311,-0.016782,-0.11977,0.0088618,-0.10195,-0.089066,0.13207,0.023054,0.016496,0.084372,0.0044394,0.14528,0.093538,0.04675,0.12064,0.053171,0.050252,0.07819,0.0032666,0.038763,-0.1195,0.0032493,-0.079063,0.073838,0.0041238,-0.077543,-0.037392,-0.13132,0.039731,-0.13244,-0.1933,0.012903,-0.0018445,0.089485,0.13564,0.057024,0.092378,0.093243,-0.17262,0.061917,-0.0073441,0.088442,-0.021847,0.066306,-0.044288,0.028619,-0.010815,0.12728,-0.34011
"1.1896",0.080879,0.047649,0.037754,-0.13516,0.072703,-0.073129,-0.15507,0.076338,0.075874,0.015753,0.11031,-0.081854,0.07224,0.15652,0.039839,0.088031,0.02372,0.14786,-0.1221,-0.053429,-0.0068031,-0.036307,0.10399,0.010958,-0.073254,0.021724,-0.10973,0.051792,0.10421,-0.022523,-0.064032,0.002173,0.041632,-0.06708,-0.05276,0.003353,0.013953,0.065677,0.0794,0.011156,-0.043436,0.012272,0.059862,0.16422,0.07684,-0.039982,0.04849,-0.0059181,-0.047826,0.13818
"1.21715",0.04945,0.11918,-0.05862,-0.049136,0.089192,0.039743,-0.18338,-0.032311,0.051715,-0.0057073,-0.0021184,-0.080655,0.045147,0.09135,0.03875,-0.058009,0.085813,0.20141,-0.08708,0.030644,-0.12045,-0.098644,0.063269,-0.12071,-0.15436,-0.10243,-0.04681,0.010263,0.053669,-0.12187,-0.12704,0.14178,-0.1204,0.080933,-0.1188,-0.040826,0.082167,-0.092362,-0.08837,0.088252,-0.054945,-0.1336,-0.089541,-0.032721,0.045154,-0.18499,0.06966,0.28966,0.032784,-0.072483
"1.2414",0.039312,0.11302,-0.061126,0.15486,0.006908,0.055598,-0.067278,0.018208,-0.11477,-0.023633,-0.060578,0.010739,0.081269,-0.076744,0.062909,0.073968,0.010668,-0.0048946,0.0050045,0.085537,0.03226,-0.018286,-0.10178,-0.07008,-0.082125,-0.045023,-0.22738,-0.1353,0.16226,0.16648,-0.21581,-0.24566,0.02469,-0.025783,-0.12284,0.1637,-0.24018,-0.14253,0.093781,0.13559,0.060615,0.048187,-0.15146,-0.060805,0.042763,-0.068202,-0.25595,-0.16427,0.055889,-0.093718
"1.274",-0.045103,0.21335,-0.084928,0.077945,0.055311,0.16285,0.15885,0.084301,0.089417,0.074907,0.00088315,-0.093991,0.25199,0.065336,0.049886,0.28201,-0.25475,0.058112,0.021321,0.20737,0.19311,0.15806,0.046033,0.082744,0.023298,-0.14182,-0.13314,0.27264,-0.051025,0.14873,0.11423,0.1242,0.010468,-0.17418,-0.1431,-0.11122,0.029153,0.2284,-0.039333,0.10221,-0.065582,0.085341,-0.01576,0.089563,0.12561,-0.046652,0.0034847,-0.013642,-0.036648,0.045681
"1.33965",0.098972,0.053948,0.021833,-0.17657,0.034384,-0.10546,-0.12045,0.11645,0.020835,-0.028673,0.066008,-0.0046896,0.012869,-0.069747,0.025933,-0.027563,-0.0068552,0.025234,0.03953,-0.03975,-0.062721,-0.01944,-0.026207,-0.035126,-0.041482,-0.022574,-0.044493,-0.0062566,-0.046971,-0.075665,-0.013026,0.020877,0.044642,-0.116,-0.063324,-0.055561,0.068774,-0.0062218,-0.024921,0.090302,0.078254,0.089007,0.17285,0.12933,-0.098908,0.025561,-0.14387,0.011529,0.0038117,0.027671
"1.3622",0.097542,-0.037778,-0.19894,-0.083044,-0.073336,-0.10405,0.093411,0.12724,0.026439,-0.028236,0.04809,0.020409,0.018331,0.045646,0.24978,-0.0049581,-0.13284,-0.071046,-0.10151,-0.068551,0.012524,-0.082973,-0.13009,0.029281,0.12357,0.1236,0.012529,-0.040133,-0.17352,0.088401,0.070316,0.11615,-0.099021,0.039821,-0.0018082,-0.18184,-0.065143,-0.043927,0.17325,0.25637,0.031082,-0.062068,-0.0011625,0.057702,-0.13146,0.079435,-0.091286,0.041915,0.034662,-0.096389
"1.4369",0.1529,0.058808,0.031865,-0.058432,-0.081382,0.09275,0.055974,-0.0078601,0.025911,-0.084758,0.050738,-0.14067,-0.042709,0.073806,-0.11123,-0.073387,0.035471,0.014594,0.080603,-0.11251,0.0046861,0.14013,0.070032,0.058482,0.31098,0.022383,-0.058988,-0.021296,-0.035091,0.09471,0.0067404,0.013466,0.060916,-0.092087,-0.24413,-0.01661,0.098952,-0.060544,-0.0059679,-0.06645,-0.10585,0.018525,-0.22018,-0.011721,0.099296,-0.016209,0.086392,-0.058419,0.050459,-0.076816
"1.4781",0.097213,0.071218,0.074082,-0.093311,-0.08449,0.0024496,0.02571,-0.040924,-0.0041711,-0.19031,-0.026083,-0.059346,-0.0086888,-0.089246,-0.11754,0.0069657,0.011857,0.070167,0.12944,-0.007258,-0.080174,0.12543,0.0069339,-0.0067592,0.10678,0.06703,0.068149,0.12062,-0.0047199,0.013359,0.03143,0.0048482,0.12582,0.026467,-0.28482,-0.092872,0.078228,0.021749,0.017555,-0.0077664,-0.067999,-0.025897,-0.24774,0.031251,-0.14297,0.009342,0.0072663,0.11722,-0.092376,-0.039429
"1.4929",0.11032,0.069249,0.061395,0.015413,-0.12374,0.015215,0.064919,0.016636,-0.030364,-0.0047555,0.079508,-0.0021478,-0.014235,-0.029283,0.050489,-0.051898,0.0013243,-0.16536,-0.074847,0.024205,0.0087439,-0.10447,-0.15414,-0.052305,0.038021,0.15803,-0.0018088,-0.012609,-0.14429,-0.071155,0.044068,-0.068682,-0.014597,-0.06725,-0.024266,-0.022655,0.084399,-0.15484,-0.058004,-0.034403,-0.1694,-0.12528,-0.22531,-0.14853,0.063932,0.048719,0.079843,0.16253,-0.073668,0.035024
"1.8554",0.016842,-0.027001,-0.061598,-0.014793,0.10804,0.15975,0.045134,0.025945,-0.048704,0.067119,0.064845,0.047822,-0.037755,-0.03134,-0.12675,0.19538,0.10541,0.019033,0.026884,-0.13301,-0.004581,-0.014534,-0.1037,0.088838,-0.10709,0.059145,-0.032485,0.037546,-0.14312,-0.090755,-0.058841,-0.062869,0.040262,0.098111,0.076294,-0.13476,0.0027273,-0.018212,-0.02221,-0.044231,-0.074237,0.078439,-0.040102,0.012009,0.008905,0.14471,-0.069036,0.061982,-0.17416,0.0069047
