"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50"
"C002",-0.99174,0.53135,0.22659,-0.22322,0.70627,-0.55581,0.11747,-0.90118,0.05525,-0.11582,0.043486,-0.15064,0.16934,-0.21309,-0.21168,0.25461,-0.34579,-0.17948,-0.18038,0.28587,0.2687,-0.33463,-0.36571,0.17202,0.26366,0.25532,-0.19326,-0.17678,-0.17695,-0.2785,0.16314,0.18407,0.05845,0.1187,-0.26862,-0.058872,0.033548,0.14953,0.04947,0.087424,-0.10799,-0.053202,-0.047164,-0.059565,-0.0096305,-0.13852,0.12889,-0.0067064,-0.03663,1.0061e-16
"C004",-0.49092,0.62118,-0.10709,-0.14954,0.14827,0.41268,0.24923,0.71544,-0.31164,0.084865,-0.82803,0.73104,0.3357,0.15808,0.003943,-0.055974,0.40127,0.13983,-0.31895,0.03512,0.70877,0.16408,0.020324,-0.25202,0.14925,0.058448,0.1524,0.091705,-0.075557,0.073173,0.11667,0.12857,-0.066541,-0.033944,-0.037882,0.062442,0.1284,0.077456,0.16294,-0.050516,-0.019641,-0.14508,0.06006,0.10735,0.011989,-0.15953,-0.1054,-0.041129,0.0084591,-3.6776e-16
"C005",-0.72867,0.34284,-0.60681,-0.13875,0.10765,0.15065,-0.71305,-0.67727,-0.70772,-0.095332,-0.1203,0.067025,-0.057227,0.077018,0.23995,0.04169,0.39118,0.28584,0.1506,0.19564,0.15846,-0.4039,0.04786,-0.42498,0.081865,0.016061,-0.025798,0.10989,-0.29701,-0.17092,-0.24423,-0.35385,0.11147,-0.047339,0.04704,-0.016894,0.19312,-0.040873,-0.15171,-0.0047891,0.16721,0.13271,-0.14851,-0.070183,-0.073875,-0.0095824,-0.0031261,0.0069114,0.10771,-2.9143e-16
"C006",-0.1479,0.68828,-0.77226,0.03537,-0.0085543,-0.4639,0.26926,-0.2416,-0.042672,0.19605,0.058425,-0.13093,0.10162,0.22144,0.54569,0.11787,0.29546,0.17155,0.10081,0.34898,-0.15762,-0.034656,0.27852,0.13674,0.19078,-0.50729,-0.30838,0.11642,0.017512,0.011736,-0.30294,-0.055052,-0.12466,0.42476,0.10517,0.15678,-0.023357,0.079198,0.079944,-0.1148,-0.26449,-0.089595,0.12006,0.045181,0.0028073,0.021483,0.041447,0.010444,-0.0068868,-1.6653e-16
"C007",-1.0416,-0.96548,0.97539,0.12985,0.46987,0.52264,0.32107,0.35228,0.0020489,-0.28874,0.29347,-0.074973,-0.39989,-0.7326,0.36537,0.1467,0.41448,0.014183,0.095139,-0.73271,-0.25911,-0.26658,0.058015,0.01708,0.030396,-0.29999,-0.18404,-0.12245,-0.24863,-0.18442,-0.18961,0.2565,0.075708,-0.16451,0.035635,0.15435,0.093182,0.057443,0.084765,-0.065647,0.048142,-0.040633,-0.027268,0.062837,0.041871,-0.067979,0.019193,0.011588,-0.01215,-2.6108e-16
"C009",-0.57552,-0.030964,-0.49703,-0.51653,-0.21581,-0.086712,0.20069,0.065487,0.30376,-0.31731,0.006289,0.084078,-0.16165,0.17596,-0.35271,-0.029337,0.0090044,-0.084603,0.1926,-0.074324,-0.028817,-0.055363,0.25357,0.28261,0.20675,-0.039692,-0.13624,0.0096875,0.23058,0.41051,0.064496,0.23848,-0.29487,0.0040114,0.11072,-0.020747,0.13723,-0.14058,0.12165,-0.11817,0.092023,0.21127,-0.11196,-0.19524,0.084869,-0.13252,0.082626,-0.077187,0.092611,1.3878e-17
"C010",-0.51383,0.14297,0.73911,0.44618,0.16812,-0.42348,0.16367,0.62248,-0.5784,0.25507,-0.33237,-0.0023341,-0.24823,0.43234,-0.093394,-0.22487,-0.0060637,0.0093874,-0.089368,-0.066331,-0.49889,-0.23154,-0.39897,0.13012,-0.17409,-0.2285,0.22093,0.13466,0.10086,0.16159,0.059264,-0.087952,0.23916,0.10388,-0.13739,-0.033947,-0.26854,0.11094,-0.067168,-0.11653,-0.017017,-0.046535,-0.10513,-0.002872,-0.12753,-0.080881,0.054995,-0.11723,0.10247,-8.6736e-17
"C011",-0.059697,0.37037,0.096668,0.31958,1.1357,-0.22769,0.10092,-0.12648,-0.01199,0.090153,-0.13118,-0.43619,0.095638,-0.13382,-0.074275,0.14293,-0.65804,0.099227,-0.19446,-0.12143,0.18853,-0.279,0.19675,-0.39678,0.12098,-0.16739,0.32645,-0.12295,0.17371,0.11936,0.17621,0.21504,-0.028288,0.19984,0.25403,0.20012,-0.07937,-0.098182,-0.23287,0.014104,0.013513,0.09442,-0.071415,0.17178,0.10316,0.025804,-0.043758,0.035867,0.042034,-1.1189e-16
"C012",-0.88751,0.22588,0.32158,0.27393,0.34527,-0.17312,0.32777,-0.00084266,0.56179,-0.043186,-0.28013,-0.026992,0.15721,0.32535,-0.00843,-0.050448,0.21192,-0.050811,0.078422,0.009291,-0.075303,0.12568,0.062744,-0.04566,-0.063981,-0.30695,-0.19943,-0.15269,0.050781,0.28102,0.16865,-0.090046,-0.050096,-0.21727,0.15864,-0.38636,0.13869,0.24942,0.02854,0.25475,-0.04994,-0.024669,-0.15184,0.076727,-0.072904,0.060486,0.019808,0.15089,0.036011,-1.4398e-16
"C015",-1.2041,0.23545,0.29175,-0.052582,0.19355,-0.26505,0.14067,-0.17234,-0.046524,0.15833,-0.11898,-0.034549,-0.0015978,0.3282,-0.053547,0.091512,0.18397,0.18011,0.12153,-0.097667,-0.15654,-0.18128,-0.11282,0.090718,-0.058762,-0.0042412,0.04521,0.083438,-0.0093444,-0.0073732,-0.13697,0.088955,-0.14699,-0.0031863,-0.19256,0.031196,-0.27063,-0.40369,0.1026,0.20236,0.010202,-0.081277,0.041555,-0.1509,0.020101,-0.044842,-0.19617,0.16615,0.0053121,-2.6021e-18
"C016",-0.7692,0.47459,-0.27486,-0.10516,-0.22884,-0.53172,0.062028,-0.52476,0.32411,-0.1039,-0.1229,-0.10184,-0.068004,-0.22545,-0.076078,0.30927,0.017614,-0.078198,-0.067095,-0.231,-0.098134,0.43879,-0.10581,0.041105,0.058735,0.0609,0.072841,0.19954,0.16719,-0.24378,0.1193,-0.12311,0.11145,-0.21447,-0.030057,0.061046,0.091626,-0.1046,0.082274,-0.093851,-0.078335,-0.28084,-0.13161,0.022894,0.16821,0.17182,-0.025679,-0.075785,0.14518,-1.197e-16
