"","Overall"
"2.7019",100
"2.5304",90.164
"2.56195",87.467
"2.6713",86.234
"2.7571",82.431
"4.1433",75.961
"2.2673",69.562
"7.5507",68.912
"7.6799",65.305
"7.6349",63.433
"4.1033",61.17
"3.3613",60.058
"3.9857",59.75
"7.2155",57.603
"7.2931",56.751
"7.8313",56.223
"2.2378",55.952
"2.2882",54.537
"1.3622",54.483
"2.8333",53.886
"7.3659",53.811
"2.34675",53.327
"7.5698",51.085
"7.1207",49.491
"7.4292",49.196
"1.4369",49.034
"4.1671",46.186
"2.7833",45.151
"7.3257",44.036
"7.4999",43.006
"1.93875",42.537
"7.0159",39.912
"1.4929",39.89
"3.5276",39.834
"3.2292",39.659
"7.4135",39.138
"1.274",37.884
"1.33965",35.711
"3.1338",35.475
"3.40975",35.191
"3.4987",35.09
"1.00135",34.953
"1.9242",34.87
"2.1275",32.871
"4.0615",30.857
"1.4781",30.579
"1.0681",29.082
"2.47135",27.206
"7.8463",25.865
"3.1607",25.798
"3.9489",25.775
"2.4149",24.641
"1.1896",24.591
"3.4525",23.602
"3.3021",21.402
"4.01605",20.711
"6.9116",20.243
"3.25475",19.312
"3.59605",19.235
"8.4618",15.869
"2.72625",15.412
"6.8887",14.745
"7.18685",14.506
"3.1967",14.112
"0",14.028
"1.11465",13.106
"2.87505",12.993
"3.569",12.463
"1.2414",11.751
"1.08855",11.604
"2.4547",10.934
"3.0477",9.7098
"3.8933",9.5811
"2.152",9.3266
"1.8554",8.7989
"1.21715",8.4841
"3.4349",8.1405
"6.8579",7.9841
"2.9053",6.8338
"2.6188",6.7058
"7.9505",6.6243
"3.9128",6.5417
"9.1278",4.8547
"7.0508",4.7195
"2.1864",4.2204
"2.93095",3.3788
"7.9715",3.0588
"8.8399",2.8895
"7.1607",2.7922
"6.9765",2.4727
"3.0195",2.2409
"7.0978",1.4593
"8.5282",1.1883
"1.1535",1.0431
"7.69755",0.85346
"7.7714",0.10625
"2.383",0
