"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"0",0.028637,0.13708,-0.050791,-0.10538,0.14748,-0.19311,0.027911,0.083488
"1.00135",0.089431,-0.13087,0.20828,0.049004,-0.14723,0.12729,-0.12261,-0.020581
"1.0681",0.075184,-0.13328,0.22629,-0.048235,-0.055072,0.14138,-0.13578,0.052887
"1.08855",-0.030694,-0.090129,0.16121,-0.057493,0.041464,0.033509,-0.056239,-0.013341
"1.11465",0.034517,-0.024387,0.06695,-0.045743,0.043012,-0.0024747,-0.099705,0.073568
"1.1535",0.012712,-0.024539,0.052259,-0.093422,-0.020259,-0.042942,-0.09565,0.053915
"1.1896",0.072383,-0.088201,0.032449,-0.016723,0.020976,0.017416,-0.020181,0.10393
"1.21715",0.031897,-0.13258,0.11119,-0.092535,0.09892,-0.026399,0.12818,-0.05507
"1.2414",0.023826,-0.097975,0.20877,0.019947,-0.0043265,-0.056182,0.16182,-0.20869
"1.274",-0.078276,-0.21912,0.16413,-0.088527,0.15422,-0.20919,-0.074329,0.082764
"1.33965",0.092202,-0.063365,0.10998,-0.037207,0.0045725,0.031592,-0.01948,0.13691
"1.3622",0.11333,0.13606,0.15687,-0.13354,0.11561,-0.1772,-0.037249,0.26409
"1.4369",0.14366,-0.11268,0.033016,-0.13013,-0.025796,0.15771,0.033098,0.12597
"1.4781",0.08672,-0.095256,0.093677,-0.079213,-0.10491,0.17039,0.020948,0.1503
"1.4929",0.10061,-0.085251,0.14824,-0.0034731,-0.085382,0.11676,-0.081245,0.071747
"1.8554",0.020966,0.02084,-0.035902,0.014709,0.08615,-0.10677,0.083709,-0.096765
"1.9242",0.083355,0.059697,-3.5523e-05,0.022922,-0.070366,0.06934,-0.20241,0.015223
"1.93875",0.11434,0.076377,-0.26794,0.15348,-0.15741,0.086744,0.032002,0.047492
"2.1275",0.082007,0.0044336,-0.14048,0.22389,-0.17099,0.33413,-0.28701,0.027915
"2.152",0.019679,0.0063307,0.0095545,0.012672,0.11646,-0.087745,0.057166,-0.069156
"2.1864",-0.019744,0.035259,0.040736,-0.085605,0.16004,-0.15883,0.29363,-0.12666
"2.2378",0.14038,-0.03933,0.054904,0.033644,-0.0050737,0.058544,-0.04394,0.15609
"2.2673",0.16804,0.12295,-0.28523,0.25456,0.019168,-0.024729,0.10681,-0.1004
"2.2882",0.15372,0.0098864,-0.1922,0.020404,-0.00057501,0.041648,0.035443,0.063083
"2.34675",-0.14134,0.1078,-0.26138,0.22139,-0.007655,0.0046278,0.013888,-0.056307
"2.383",0.019975,-0.28243,0.19885,-0.067948,0.12638,0.035198,-0.0060353,-0.06907
"2.4149",0.064308,-0.084361,0.15745,-0.032042,0.015406,-0.045885,-0.092092,0.050542
"2.4547",0.033366,-0.10949,0.038657,0.057188,0.061982,0.020061,-0.062416,0.03422
"2.47135",-0.050723,-0.15887,0.089093,-0.033568,-0.11287,0.12085,-0.11625,-0.062519
"2.5304",-0.21257,-0.19627,0.049135,0.071386,0.13622,-0.26759,-0.012745,0.085842
"2.56195",-0.21853,-0.14596,0.064703,0.10549,0.097958,-0.16347,0.025748,0.096961
"2.6188",-0.0081629,-0.058544,0.001115,0.0057465,-0.02873,-0.09605,0.11971,-0.058731
"2.6713",-0.21319,-0.12988,0.066897,0.031933,0.094,-0.15774,0.042923,0.13449
"2.7019",-0.24654,-0.13347,0.052274,0.10681,0.011591,-0.1521,0.014304,0.066304
"2.72625",0.043762,-0.041235,0.032887,-0.00086332,0.025504,-0.11606,0.21017,-0.19583
"2.7571",0.18492,0.14669,0.19507,-0.15317,0.071706,-0.18359,-0.093498,0.018255
"2.7833",0.12351,0.014311,0.081649,-0.20129,-0.079592,-0.16302,0.23442,-0.0062578
"2.8333",0.15125,-0.0072305,-0.020371,-0.13579,0.08348,-0.22036,0.094257,0.049904
"2.87505",0.033813,-0.0049649,0.040152,-0.041477,0.030287,-0.029795,-0.092097,0.081048
"2.9053",0.015046,0.032615,-0.018072,-0.051182,0.033263,0.042149,0.061347,-0.024525
"2.93095",0.0034896,-0.034051,0.23349,-0.18777,0.10524,-0.048809,-0.092711,0.30528
"3.0195",-0.0083367,0.0006396,0.11683,0.072631,-0.054541,-0.0061355,-0.0020763,-0.074088
"3.0477",-0.035272,0.073376,-0.0071054,-0.033018,0.11768,-0.12261,0.093127,-0.062418
"3.1338",-0.086314,-0.12272,0.17138,-0.073373,0.015452,0.082649,-0.04318,-0.19995
"3.1607",-0.034214,-0.11249,-0.026436,-0.26548,0.075305,0.031982,0.16263,-0.2629
"3.1967",0.034549,-0.023603,0.054382,-0.032407,0.065849,0.015227,-0.016091,0.025914
"3.2292",0.10418,0.00050606,-0.017972,-0.0044406,0.0020439,0.017924,-0.10644,0.17285
"3.25475",0.057522,-0.053428,6.4961e-05,0.033097,-0.097343,0.13473,-0.15237,0.084713
"3.3021",0.064423,-0.063516,0.13651,-0.23106,0.10681,-0.068091,0.15468,-0.055405
"3.3613",0.15181,0.085695,-0.077427,-0.064609,0.17324,-0.24938,0.11919,0.056854
"3.40975",0.10449,-0.089532,0.033413,0.063185,-0.29777,0.16565,-0.12659,0.088547
"3.4349",0.034834,-0.095856,0.01048,0.036475,-0.15325,0.14993,-0.093327,0.058328
"3.4525",0.067414,0.05011,-0.18205,0.027358,0.12077,-0.044166,-0.089538,-0.10391
"3.4987",0.10554,-0.115,0.069568,0.023052,-0.24795,0.15485,-0.1586,0.099397
"3.5276",0.11513,-0.088634,0.010978,0.0017998,-0.093273,0.10355,-0.041038,0.078783
"3.569",-0.016832,-0.198,0.1024,0.0084309,0.028978,-0.0016066,0.085529,-0.11301
"3.59605",0.061643,-0.052435,-0.061808,-0.09099,0.14432,0.056521,0.10287,0.011076
"3.8933",0.026929,-0.10471,0.028379,0.21806,-0.22324,0.19873,-0.10249,0.0023381
"3.9128",-0.01044,-0.10391,0.10396,0.020876,-0.14987,0.10456,-0.089603,0.090072
"3.9489",-0.056121,-0.093227,0.019776,0.18694,-0.2728,-0.13944,0.13875,-0.19068
"3.9857",-0.16069,0.06797,0.0053893,-0.10184,0.0061858,0.20197,0.096598,-0.23067
"4.01605",-0.049421,-0.063228,0.088944,-0.035386,0.033248,-0.01091,-0.07177,-0.14308
"4.0615",-0.077119,0.049475,-0.112,0.027895,-0.14645,0.1006,0.1498,-0.14343
"4.1033",0.14546,0.0086282,0.087978,-0.023064,0.17991,-0.11436,0.18625,-0.25033
"4.1433",0.20164,-0.10145,0.10064,-0.0030377,-0.034667,0.044702,-0.102,-0.062851
"4.1671",0.12854,-0.05158,-0.091927,0.089694,0.097773,-0.15027,0.038637,-0.22994
"6.8579",-0.01199,0.01466,-0.16393,0.11327,-0.048126,-0.13365,-0.0065471,-0.017783
"6.8887",0.053338,-0.064241,-0.17649,0.050911,0.19112,-0.0057733,-0.20516,0.11692
"6.9116",-0.052252,-0.035221,0.028306,0.12794,-0.18012,-0.083452,-0.025726,0.20052
"6.9765",0.023199,-0.081578,-0.1168,0.079914,0.10239,-0.21626,0.22086,0.03809
"7.0159",0.066502,0.14511,0.11203,0.043809,0.051377,-0.0098712,-0.0083274,0.17357
"7.0508",0.0091534,0.03358,0.0020373,0.10917,-0.2535,-0.090248,0.050615,0.22311
"7.0978",0.0090082,0.015764,0.022152,-0.13846,-0.047013,0.11093,0.12032,0.014937
"7.1207",-0.11537,-0.013464,-0.033435,-0.046094,-0.19451,0.060981,0.14919,-0.090073
"7.1607",0.0094677,-0.025904,-0.050005,0.051448,0.14855,-0.089678,0.010756,-0.065143
"7.18685",-0.017539,-0.049049,-0.14912,-0.061992,0.084343,0.14099,-0.12999,0.045262
"7.2155",-0.15519,0.086652,-0.26596,0.30003,-0.078973,0.0067029,0.046724,0.064588
"7.2931",-0.15045,0.088037,-0.066794,0.10831,-0.20437,-0.1266,0.070572,0.13594
"7.3257",-0.12078,-0.0075014,-0.079953,0.21172,-0.11779,0.21065,0.0090656,0.041616
"7.3659",0.13137,0.18431,-0.40923,0.29519,0.033345,-0.17293,0.060618,-0.081809
"7.4135",0.088978,0.17366,-0.28311,0.31009,-0.26926,-0.021185,0.10171,0.062003
"7.4292",0.12491,0.1205,-0.3518,0.22034,0.03827,0.00058574,0.014682,-0.056306
"7.4999",-0.1157,0.024196,-0.099411,0.091276,0.098081,-0.10089,0.019472,0.29113
"7.5507",-0.20943,0.38221,-0.088765,-0.17222,0.011436,0.090883,-0.15614,0.058812
