"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"C002",-1.119,-0.36538,0.13878,0.44257,0.24356,-0.11122,0.17154,0.17411
"C004",-0.61831,-0.34272,0.082446,-0.2089,-0.0029078,-0.184,-0.14429,-0.17685
"C005",-0.70493,0.22785,0.28407,-0.54894,-0.45789,-0.29159,0.31381,-0.30264
"C006",-0.26708,-0.30803,-0.014325,-0.86682,-0.36997,-0.86799,-0.19075,0.14877
"C007",-0.86943,0.32081,-0.4299,0.67558,-0.59786,-0.18438,0.080282,0.28663
"C009",-0.51333,0.15984,-0.25356,-0.71563,0.06142,-0.038138,-0.021064,0.11444
"C010",-0.62148,-0.45924,-0.26305,0.35593,-0.1078,0.27228,0.085092,-0.23786
"C011",-0.25736,-0.79879,-0.46536,0.11241,-0.053758,-0.67561,0.0047681,-0.2851
"C012",-0.98807,-0.42501,-0.25056,0.38064,0.41073,0.098634,0.057871,0.31331
"C015",-1.2503,-0.16176,-0.023149,0.30377,0.32579,0.40859,0.39329,0.46773
"C016",-0.81527,-0.033873,0.2268,-0.17233,0.16175,-0.098367,-0.19196,0.056976
"C017",-1.0272,0.094882,-0.1747,0.92896,-0.60152,-0.24453,0.31308,0.22356
"C019",-0.86214,0.34794,-0.086075,-0.62663,0.022277,0.55661,-0.27795,-0.016491
"C020",-0.99426,0.34486,0.15364,0.0047441,-0.52048,-0.28398,0.58643,0.059092
"C021",-0.82609,0.51909,0.0045224,-0.32802,-0.13007,-0.092273,-0.57518,-0.077405
"C022",-0.6683,0.13005,-0.55259,-0.53047,0.0083545,0.84051,0.29019,-0.063656
"C024",-1.1446,-0.63134,0.41849,0.40429,0.34516,-0.14988,0.10528,0.34443
"C026",-0.82452,0.074783,0.014765,-0.087807,0.13653,0.055984,-0.36847,-0.10088
"C028",-0.83101,-0.17788,0.17529,0.10369,0.054518,-0.26991,-0.056811,-0.30946
"C029",-0.74678,0.09773,-0.13446,-0.53951,-0.16513,0.10832,0.11277,-0.39889
"C030",-0.69846,0.15783,-0.51224,-0.28138,0.19699,0.55449,-0.15275,0.039838
"C031",-0.58427,-0.77223,0.040688,0.01917,-0.028595,0.063623,-0.16904,-0.24872
"C032",-0.83773,-0.13554,-0.01162,-0.29793,0.17462,0.16998,-0.089647,0.27044
"C033",-0.75225,-0.1377,-0.0061662,0.18273,0.041738,-0.45119,-0.37194,-0.48621
"C034",-0.67143,-0.42851,-0.19361,-0.14332,0.083398,0.30301,-0.24672,-0.069485
"P002",0.90036,-0.18383,0.21779,-0.19479,0.19428,-0.0005237,-0.36628,0.3535
"P012",0.85687,-0.26397,0.32758,-0.17588,0.12101,0.1298,0.020974,0.039539
"P013_2",0.90077,-0.51435,0.64713,0.04352,-0.51889,0.46651,-0.44007,-0.091073
"P014",0.75257,-0.070996,0.086892,-0.090933,0.3254,-0.30335,0.15769,0.13605
"P027",0.18521,0.97881,0.44182,0.035202,0.22581,0.53985,0.60558,-0.25226
"P034",1.2631,0.35259,-0.98609,0.30162,-0.074205,-0.23511,0.076592,-0.33418
"P037",0.27862,1.2358,0.42318,-0.065581,0.20063,-0.60982,-0.41492,0.79164
"P038",0.84348,-0.19366,-0.0293,0.060101,0.8062,-0.59687,0.10432,-0.27921
"P041",1.1667,-0.077622,-0.36106,0.08681,-0.70987,-0.056506,0.060375,0.40033
"P042",0.20876,0.70898,0.52813,0.12566,0.21804,-0.019933,0.041958,0.25536
"P049",0.32411,0.97765,0.27208,0.037603,0.15895,0.1437,-0.011922,-0.28918
"P056",0.72902,0.79123,0.10899,-0.11134,-0.37173,-0.32443,0.12069,-0.26296
"P058",0.46225,0.67293,0.25081,0.32999,-0.056532,0.497,-0.15831,-0.30861
"P060",1.1752,0.042929,-0.59482,0.2163,-0.0009583,-0.34001,-0.45317,0.06348
"P064",1.0741,-0.54379,-0.28784,-0.10264,0.54855,-0.24996,0.52498,-0.10831
"P065",1.2493,-0.39048,0.077297,-0.89007,-0.19944,0.024226,0.64989,0.31513
"P070",1.1477,-0.053864,-0.76548,-0.048215,-0.0043505,0.22094,0.27292,0.23957
"P080",1.2258,-0.9672,0.049889,0.24096,-0.57455,0.76481,-0.37485,0.21789
"P085",0.49787,0.22803,0.7165,0.092264,-0.35529,-0.11016,0.27514,-0.21704
"P086",0.80646,-0.54433,0.29945,0.12932,0.21682,-0.026334,0.15486,-0.23664
"P089",0.51048,-0.50631,0.67075,0.80271,-0.051504,0.13267,-0.076944,-0.25578
"P092",0.96961,0.31954,-0.68904,0.23577,0.26444,0.1031,-0.25835,-0.061734
"P099",0.23434,1.37,-0.27829,0.54147,0.18121,0.13943,-0.14712,-0.041442
"P100_2",0.92386,-0.42815,0.348,-0.19202,-0.020503,0.027137,-0.075629,0.18997
"P113",0.80704,-0.2376,0.35753,0.025387,0.2456,0.19487,0.053775,0.01026
