"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"2.7019",2.5189,2.4616,2.4198,2.3935,2.3833,2.3808,2.378,2.376
"2.5304",2.272,2.2346,2.1977,2.1742,2.1636,2.1641,2.1617,2.1601
"2.56195",2.2043,2.1521,2.1318,2.1149,2.1047,2.102,2.0999,2.0983
"2.6713",2.1734,2.1236,2.0924,2.07,2.0603,2.0572,2.0558,2.0545
"2.7571",2.0779,2.0676,2.0294,2.0222,2.0126,2.0112,2.009,2.0083
"4.1433",1.9155,1.8721,1.8401,1.8195,1.8115,1.8086,1.8074,1.8058
"2.2673",1.7549,1.7194,1.6909,1.7195,1.7113,1.7085,1.7067,1.7054
"7.5507",1.7386,1.7721,1.7866,1.782,1.7734,1.7704,1.7691,1.7677
"7.6799",1.6481,1.6418,1.6093,1.5931,1.5857,1.5848,1.5831,1.5819
"7.6349",1.6011,1.6199,1.6209,1.6103,1.6033,1.6007,1.6,1.5987
"4.1033",1.5443,1.5169,1.5014,1.4846,1.4799,1.4794,1.4778,1.4806
"3.3613",1.5164,1.4797,1.4641,1.4481,1.4421,1.443,1.4424,1.4411
"3.9857",1.5086,1.4765,1.4472,1.4313,1.4298,1.4313,1.4297,1.4298
"7.2155",1.4548,1.424,1.3985,1.4435,1.4369,1.4349,1.4337,1.4325
"7.2931",1.4334,1.4005,1.3807,1.3649,1.3762,1.374,1.3739,1.3732
"7.8313",1.4201,1.4506,1.4385,1.4224,1.4168,1.4147,1.4132,1.4156
"2.2378",1.4133,1.3797,1.3637,1.3497,1.3433,1.3413,1.3397,1.3386
"2.2882",1.3778,1.3614,1.3714,1.3568,1.3505,1.3486,1.347,1.3459
"1.3622",1.3764,1.4047,1.3855,1.3772,1.372,1.3703,1.3707,1.373
"2.8333",1.3614,1.3436,1.3403,1.3406,1.334,1.3339,1.3339,1.3329
"7.3659",1.3596,1.3304,1.3623,1.404,1.3981,1.3977,1.3964,1.3952
"2.34675",1.3474,1.3164,1.3082,1.3246,1.3192,1.3175,1.317,1.3175
"7.5698",1.2911,1.3241,1.3327,1.3278,1.3214,1.3192,1.319,1.3181
"7.1207",1.2511,1.2341,1.2265,1.2198,1.2165,1.2182,1.2192,1.2182
"7.4292",1.2437,1.2136,1.2317,1.2696,1.2639,1.2618,1.2603,1.2592
"1.4369",1.2397,1.2409,1.2167,1.2074,1.2061,1.2096,1.2086,1.2077
"4.1671",1.1682,1.1501,1.1285,1.1217,1.1164,1.119,1.1178,1.1175
"2.7833",1.1422,1.1205,1.1158,1.1569,1.1527,1.1509,1.1576,1.1569
"7.3257",1.1142,1.0935,1.0868,1.1235,1.1181,1.1221,1.1208,1.1199
"7.4999",1.0884,1.0649,1.0441,1.0567,1.0573,1.0556,1.0581,1.0605
"1.93875",1.0766,1.0532,1.0826,1.0876,1.0831,1.0857,1.0861,1.0862
"7.0159",1.0107,1.1357,1.1622,1.1541,1.1498,1.1478,1.1466,1.1457
"1.4929",1.0101,0.98597,1.0083,0.9966,0.99171,0.99293,0.99183,0.99241
"3.5276",1.0087,1.0039,0.98367,0.97274,0.96875,0.9682,0.96721,0.96638
"3.2292",1.0044,0.98044,0.96184,0.9508,0.94615,0.94459,0.94374,0.94342
"7.4135",0.99126,0.98405,0.99859,1.0283,1.0451,1.0442,1.0454,1.0447
"1.274",0.95981,0.98302,0.99133,0.98363,0.98042,0.98228,0.98219,0.98518
"1.33965",0.90525,0.88316,0.88345,0.87404,0.87003,0.8687,0.86769,0.86697
"3.1338",0.89933,0.88084,0.899,0.89249,0.88869,0.88732,0.88718,0.88666
"3.40975",0.89221,0.89703,0.87948,0.87438,0.89973,0.89984,0.90021,0.89949
"3.4987",0.88966,0.8998,0.88178,0.87952,0.8946,0.89448,0.89473,0.89444
"1.00135",0.88622,0.86463,0.93328,0.92267,0.9248,0.92369,0.92422,0.92343
"1.9242",0.88415,0.86836,0.85173,0.84273,0.84314,0.84189,0.84381,0.84356
"2.1275",0.83396,0.81467,0.79939,0.84872,0.84508,0.85228,0.85574,0.85664
"4.0615",0.78343,0.76524,0.77462,0.76608,0.76258,0.76897,0.77067,0.77005
"1.4781",0.77644,0.76741,0.76015,0.75468,0.7532,0.76511,0.76617,0.767
"1.0681",0.73886,0.72083,0.80371,0.79668,0.7929,0.79386,0.79334,0.79377
"2.47135",0.69178,0.74041,0.72737,0.72876,0.73003,0.72916,0.73056,0.72993
"7.8463",0.65811,0.90401,0.886,0.88261,0.89454,0.89415,0.8931,0.89251
"3.1607",0.65643,0.81621,0.87408,0.91185,0.91629,0.91599,0.91565,0.91591
"3.9489",0.65585,0.66036,0.64907,0.64169,0.71642,0.7171,0.71709,0.71727
"2.4149",0.62739,0.61215,0.64319,0.6402,0.63793,0.63829,0.63788,0.63781
"1.1896",0.62614,0.62613,0.61766,0.61057,0.60885,0.60806,0.60741,0.60719
"3.4525",0.60132,0.59497,0.64616,0.64334,0.64171,0.6439,0.64504,0.64452
"3.3021",0.5461,0.55086,0.53976,0.59526,0.60048,0.59948,0.60027,0.6007
"4.01605",0.52874,0.52011,0.51826,0.51823,0.51662,0.51878,0.52186,0.52226
"6.9116",0.517,0.5044,0.50369,0.49949,0.52981,0.52896,0.53077,0.5346
"3.25475",0.49363,0.49523,0.48524,0.47963,0.48105,0.48122,0.4841,0.48395
"3.59605",0.49171,0.51336,0.51156,0.5064,0.54173,0.54325,0.54313,0.54334
"8.4618",0.40722,0.4073,0.40002,0.40166,0.41144,0.42596,0.42579,0.43396
"2.72625",0.39574,0.3901,0.38484,0.38089,0.37966,0.38127,0.38209,0.38887
"6.8887",0.37901,0.43638,0.44537,0.49035,0.51681,0.51613,0.5157,0.52313
"7.18685",0.37299,0.48274,0.55144,0.54515,0.55657,0.55688,0.55883,0.55842
"3.1967",0.36311,0.3561,0.36805,0.36392,0.36899,0.36841,0.368,0.3677
"0",0.36101,0.37376,0.4325,0.44572,0.44515,0.45412,0.45408,0.45377
"1.11465",0.33785,0.32962,0.32971,0.33202,0.33044,0.33142,0.33318,0.33306
"2.87505",0.33502,0.32686,0.32081,0.32246,0.3209,0.32114,0.32083,0.32303
"3.569",0.32173,0.39943,0.46081,0.45728,0.45629,0.45555,0.45508,0.45609
"1.2414",0.30386,0.31606,0.53124,0.52548,0.52304,0.5222,0.52254,0.52436
"1.08855",0.30017,0.29286,0.39143,0.39007,0.39066,0.39001,0.39005,0.38979
"2.4547",0.28334,0.28558,0.35695,0.37999,0.38416,0.38356,0.38316,0.38366
"3.0477",0.25262,0.28858,0.28299,0.27973,0.28538,0.28855,0.2898,0.28994
"3.8933",0.24939,0.24459,0.3613,0.41327,0.43541,0.43963,0.44313,0.4429
"2.152",0.243,0.24954,0.25927,0.26448,0.26918,0.2734,0.27308,0.27442
"1.8554",0.22975,0.22716,0.22285,0.22773,0.23077,0.23312,0.23499,0.23495
"1.21715",0.22185,0.26119,0.31794,0.31563,0.34087,0.34178,0.34633,0.34604
"3.4349",0.21323,0.29254,0.28664,0.28389,0.29589,0.30032,0.30253,0.30232
"6.8579",0.2093,0.25014,0.34062,0.34688,0.36055,0.36348,0.36448,0.36613
"2.9053",0.18043,0.18329,0.18148,0.17962,0.20685,0.21598,0.22117,0.22197
"2.6188",0.17722,0.23111,0.22928,0.22962,0.23512,0.23596,0.23877,0.23941
"7.9505",0.17517,0.33209,0.36845,0.36528,0.36362,0.36302,0.37206,0.37175
"3.9128",0.1731,0.20226,0.24991,0.25219,0.27003,0.27267,0.27335,0.2739
"9.1278",0.13075,0.47224,0.48511,0.50134,0.52163,0.52257,0.5287,0.5374
"7.0508",0.12736,0.13752,0.13599,0.13616,0.26239,0.2627,0.277,0.28533
"2.1864",0.11483,0.1687,0.17834,0.17674,0.22472,0.22479,0.24391,0.24834
"2.93095",0.093709,0.13112,0.25915,0.34252,0.34687,0.34792,0.34759,0.34955
"7.9715",0.085675,0.085671,0.08463,0.11777,0.13769,0.14053,0.15218,0.15205
"8.8399",0.081428,0.5715,0.60161,0.59732,0.6249,0.62755,0.63758,0.64469
"7.1607",0.078984,0.080299,0.090581,0.16529,0.18102,0.19077,0.19094,0.19168
